N°Obs,"En moyenne, à quelle fréquence achetez-vous des vêtements ?",Où achetez-vous le plus souvent ? (choix multiples),Quel est le cycle de vie moyen d’un vêtement dans votre garde-robe avant que vous ne vous en sépariez ?,Que faites-vous le plus souvent des vêtements dont vous souhaitez vous séparer ? (choix multiples),"Après avoir acheté des vêtements, à quelle fréquence finissent-ils par ne jamais être portés ?",Jusqu’à quel point les tendances actuelles influencent-elles vos décisions d’achat ?,A quelle fréquence achetez-vous un vêtement uniquement parce qu'il est tendance ?,Avez-vous déjà ressenti une pression sociale liée à la mode ?,Avez-vous déjà évité de porter un vêtement parce qu’il n’était “plus à la mode” ?,Dans quelle mesure vos vêtements contribuent-ils à votre confiance en vous ?,Pensez-vous que bien s’habiller aide dans la vie sociale ?,"Jusqu’à quel point les réseaux sociaux (influenceurs, célébrités) dictent-ils vos choix vestimentaires ?",Je publie parfois des photos de mes achats “tendance” pour les partager avec mes amis et ma famille.,Avez-vous déjà ressenti un sentiment de culpabilité après avoir acheté un article tendance vu sur les réseaux sociaux ?,Avez-vous déjà remarqué une différence dans la manière dont vous êtes perçu(e) lorsque vous ne suivez pas une tendance ?,Avez-vous déjà acheté certains de ces articles ? (choix multiples),Connaissez-vous le concept de “fast fashion” ?,"“La fast fashion, ou « mode rapide », est une façon de produire et vendre des vêtements très vite, en suivant les dernières tendances, à des prix très bas.” __Avez-vous déjà consommé sur des plateformes de fast fashion (Shein, Temu, etc.) ?","Dans quelle mesure les considérations éthiques (conditions de travail)/environnementales (pollution, matériaux)  affectent-elles vos achats ?","Si un vêtement éthique (bio, local, éco-responsable) coûtait 20 % plus cher, dans quelle mesure seriez-vous prêt(e) à l’acheter ?",Pour quelles raisons achetez-vous des vêtements de marques considérées comme fast fashion ? (Choix multiples),Quel est votre âge ?,Êtes-vous :,"Selon vous, la mode est-elle davantage un outil d'expression personnelle ou un moyen de se conformer aux attentes sociales?",Quelle est votre situation professionnelle ?,(Quelle est votre situation professionnelle ?) Précisez :,"(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ?) Prix","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Qualité","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Marque","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Mode / tendances","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Confort","Bonjour,_Ce questionnaire porte sur la mode et son influence dans la vie _quotidienne._Il est anonyme et confidentiel, il ne vous _prendra que quelques minutes._Merci d'avance pour votre participation  !",Clé,Date de saisie,Date de dernier enregistrement,Date de dernière modification,Temps de saisie,Origine,Langue,Appareil utilisé pour la saisie,Progression,Dernière question saisie,
108,Au moins une fois par an,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Parfois,Parfois,Rarement,6,Assez,5,1,5,4,Aucun,Non,Oui,6,3,Abordables;Facilité d’achat,19,Un homme,Je ne sais pas,Étudiant(e),,10,7,5,5,6,,NF37-YD3P,18/10/2025 19:46:06,18/10/2025 19:50:17,,"251,895684",direct,FR,Smartphone,Terminé,,
109,Au moins une fois par an,Magasin physique;Internet,6 mois à 1 an,Je les donne,Je porte presque toujours mes achats,4,Jamais,Jamais,Jamais,5,Assez,1,1,,1,Pantalon cargo,Oui,Oui,1,1,Abordables,14,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,10,3,5,10,,RH5B-BN46,20/10/2025 10:58:48,20/10/2025 11:07:34,,"526,230899",direct,FR,Smartphone,Terminé,,
110,Au moins une fois par mois,Magasin physique,6 mois à 1 an,Je les donne,Certains vêtements restent parfois inutilisés,8,Parfois,Jamais,Rarement,6,Assez,7,1,,2,Pantalon cargo;Campus;Sonny Angel,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",6,1,Par réseaux sociaux/Publicité,14,Une femme,Je ne sais pas,Étudiant(e),,7,9,4,6,8,,5XBS-BY5J,20/10/2025 11:16:06,20/10/2025 11:20:50,,"283,503182",direct,FR,Smartphone,Terminé,,
111,Au moins une fois par mois,Internet,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Parfois,Parfois,Parfois,10,Beaucoup,4,1,1,5,Pantalon cargo;Samba,Oui,Oui,5,2,Abordables;Facilité d’achat,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,9,6,5,9,,AU59-4B75,20/10/2025 13:26:28,20/10/2025 13:29:53,,"204,646054",direct,FR,Smartphone,Terminé,,
112,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,2,Rarement,Rarement,Rarement,10,Beaucoup,8,2,3,2,Aucun,Oui,Oui,10,10,Beaucoup d’options;Abordables,21,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,7,7,3,1,,6KE8-AQ4N,20/10/2025 13:31:15,20/10/2025 13:36:26,,"311,302569",direct,FR,Smartphone,Terminé,,
113,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les jette,Je porte presque toujours mes achats,2,Jamais,Parfois,Jamais,9,Assez,7,2,8,5,Aucun,Oui,Oui,6,8,Abordables,21,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,6,7,2,4,,BZQ5-ZKZJ,20/10/2025 13:31:22,20/10/2025 13:37:03,,"341,832988",direct,FR,Smartphone,Terminé,,
114,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,4,Parfois,Jamais,Jamais,6,Peu,3,1,,1,Tote bag;Stanley Cup,Oui,"Non, mais je connais ces plateformes",5,4,Facilité d’achat,17,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,6,5,3,3,6,,TZB9-ZWE7,20/10/2025 13:41:11,20/10/2025 13:44:15,,"184,544776",direct,FR,Smartphone,Terminé,,
115,Tous les 2 à 3 mois,Magasin physique,Plus de 5 ans,Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,9,Parfois,Parfois,Rarement,9,Beaucoup,7,3,4,1,Pantalon cargo;Campus;Tote bag;Stanley Cup;Samba,Oui,Oui,8,8,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle,19,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,9,2,8,5,,524L-CMK6,20/10/2025 13:39:02,20/10/2025 13:48:47,,"585,283548",direct,FR,Smartphone,Terminé,,
116,Tous les 2 à 3 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,2,Parfois,Parfois,Rarement,7,Beaucoup,2,1,8,7,Aucun,Oui,"Non, mais je connais ces plateformes",8,6,Abordables,19,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,10,5,5,10,,UY2B-74NP,20/10/2025 14:30:55,20/10/2025 14:34:43,,"227,784396",direct,FR,Smartphone,Terminé,,
117,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne;Je les jette,Je porte presque toujours mes achats,7,Parfois,Parfois,Souvent,8,Assez,5,5,5,6,Pantalon cargo;Tote bag;Samba,Oui,Oui,5,3,Beaucoup d’options,18,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,10,10,1,10,,BUNG-R98L,20/10/2025 14:43:04,20/10/2025 14:47:00,,"235,889384",direct,FR,Smartphone,Terminé,,
118,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,3,Rarement,Jamais,Jamais,1,Peu,1,1,,1,Pantalon cargo,Oui,Oui,9,5,Facilité d’achat,18,Un homme,Je ne sais pas,Étudiant(e),,6,8,5,3,7,,8976-TV4B,20/10/2025 15:17:45,20/10/2025 15:20:37,,"171,791153",direct,FR,Smartphone,Terminé,,
119,Tous les 4 à 6 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,5,Rarement,Parfois,Rarement,8,Assez,4,1,5,7,Tote bag,Oui,Oui,10,8,Abordables;Facilité d’achat,20,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,8,1,2,8,,3R9D-5JLA,20/10/2025 15:12:03,20/10/2025 15:20:50,,"526,755396",direct,FR,Smartphone,Terminé,,
120,Tous les 2 à 3 mois,Magasin physique,6 mois à 1 an,Je les donne;Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,9,Souvent,Parfois,Rarement,8,Beaucoup,9,7,4,3,Aucun,Oui,Oui,2,2,Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,17,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,4,7,10,8,7,,53DN-HBR9,20/10/2025 15:18:07,20/10/2025 15:21:30,,"202,185364",direct,FR,Smartphone,Terminé,,
121,Tous les 4 à 6 mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Jamais,Jamais,Rarement,3,Assez,2,1,,4,Pantalon cargo,Oui,Oui,5,6,Abordables;Par conseil d’amis/famille,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,7,6,8,,6Y7J-EG4G,20/10/2025 15:17:58,20/10/2025 15:23:28,,"330,07152",direct,FR,Smartphone,Terminé,,
122,Tous les 2 à 3 mois,Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Rarement,Parfois,Parfois,9,Beaucoup,5,9,5,5,Pantalon cargo;Campus,Oui,Oui,3,6,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,22,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,5,4,5,,FW42-LPKB,20/10/2025 15:29:26,20/10/2025 15:32:13,,"166,590826",direct,FR,Smartphone,Terminé,,
123,Tous les 2 à 3 mois,Magasin physique;Internet,6 mois à 1 an,Je les vends,Je porte presque toujours mes achats,5,Rarement,Jamais,Rarement,6,Beaucoup,1,1,,4,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",5,5,Renouvellement des collections,18,Un homme,Je ne sais pas,Étudiant(e),,7,8,5,7,8,,V9TQ-4P35,20/10/2025 15:28:54,20/10/2025 15:33:46,,"291,635238",direct,FR,Smartphone,Terminé,,
124,Au moins une fois par semaine,Magasin physique,Plus de 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,4,Rarement,Parfois,Parfois,8,Beaucoup,3,1,1,1,Pantalon cargo;Tote bag,Oui,Oui,4,1,Abordables;Facilité d’achat,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,1,4,5,,SRFA-FJUD,20/10/2025 15:26:53,20/10/2025 15:38:39,,"705,766608",direct,FR,Smartphone,Terminé,,
125,Tous les 4 à 6 mois,Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Rarement,Rarement,Jamais,8,Beaucoup,3,1,1,2,Aucun,Oui,"Non, mais je connais ces plateformes",4,1,Abordables,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,1,5,10,,QS7J-REVU,20/10/2025 16:32:47,20/10/2025 16:36:06,,"199,359217",direct,FR,Smartphone,Terminé,,
126,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Souvent,Rarement,Souvent,9,Beaucoup,6,3,5,3,Pantalon cargo;Tote bag,Oui,Oui,6,5,Abordables;Facilité d’achat;Mode actuelle;Par réseaux sociaux/Publicité,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,6,5,6,4,,C4NA-66PF,20/10/2025 16:48:53,20/10/2025 17:24:29,,"2136,17843",direct,FR,Smartphone,Terminé,,
127,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,4,Rarement,Parfois,Parfois,8,Assez,6,2,8,10,Pantalon cargo;Tote bag;Samba,Oui,Oui,10,9,Beaucoup d’options;Abordables,18,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,10,3,2,9,,U28F-KCZ8,21/10/2025 21:22:03,21/10/2025 21:24:36,,"153,179821",direct,FR,Smartphone,Terminé,,
128,Au moins une fois par mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les recycle,Je porte presque toujours mes achats,5,Jamais,Parfois,Jamais,7,Assez,1,1,1,6,Pantalon cargo;Campus,Oui,Oui,8,6,Abordables;Facilité d’achat,45,Une femme,C'est un outil d'expression personnelle,Fonctionnaire,,8,10,5,5,9,,5N38-ZF5V,22/10/2025 09:35:40,22/10/2025 09:40:19,,"278,767833",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
129,Au moins une fois par mois,Internet;Friperie / Seconde main,6 mois à 1 an,Je les donne;Je les vends,Je porte presque toujours mes achats,5,Rarement,Rarement,Rarement,8,Peu,4,1,7,2,Aucun,Oui,Oui,10,10,Beaucoup d’options;Abordables;Facilité d’achat,29,Une femme,C'est un outil d'expression personnelle,Cadre,,7,9,6,5,8,,RB7M-BBJ3,22/10/2025 13:21:38,22/10/2025 13:25:27,,"229,295707",direct,FR,Smartphone,Terminé,,
130,Au moins une fois par mois,Internet,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Rarement,Parfois,Rarement,6,Beaucoup,4,1,1,10,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",8,8,Abordables,23,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,6,8,2,1,10,,JY7F-VX3P,23/10/2025 06:27:02,23/10/2025 06:31:21,,"258,629931",direct,FR,Smartphone,Terminé,,
131,Tous les 4 à 6 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,3,Jamais,Rarement,Jamais,8,Assez,1,5,1,7,Pantalon cargo;Tote bag,Oui,"Non, mais je connais ces plateformes",9,7,Abordables,22,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,5,1,3,7,,NQ9A-EX76,23/10/2025 13:26:49,23/10/2025 13:31:49,,"300,223155",direct,FR,Smartphone,Terminé,,
132,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les recycle,Je porte presque toujours mes achats,4,Jamais,Parfois,Rarement,6,Assez,2,8,2,1,Pantalon cargo,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",6,6,Facilité d’achat,17,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,4,4,9,,S5T8-RBVX,24/10/2025 09:23:43,24/10/2025 09:29:38,,"354,444547",direct,FR,Smartphone,Terminé,,
133,Tous les 2 à 3 mois,Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,4,Rarement,Rarement,Parfois,9,Assez,4,1,1,3,Pantalon cargo;Samba,Oui,Oui,7,5,Mode actuelle,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,6,5,3,10,,GK76-WQUE,25/10/2025 00:29:19,25/10/2025 01:23:09,,"3230,42039",direct,FR,Smartphone,Terminé,,
134,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne;Je les recycle,Certains vêtements restent parfois inutilisés,5,Rarement,Parfois,Parfois,4,Assez,2,1,1,2,Pantalon cargo;Tote bag,Oui,"Non, mais je connais ces plateformes",6,5,Abordables,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,7,3,4,8,,SYPT-7C3S,25/10/2025 12:16:24,25/10/2025 12:22:23,,"359,019129",direct,FR,Smartphone,Terminé,,
135,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,9,Rarement,Rarement,Parfois,8,Assez,6,5,7,6,Samba,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",6,3,Abordables,20,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,5,7,7,,WZ9T-2MVB,28/10/2025 14:39:06,28/10/2025 14:42:50,,"223,767",direct,FR,Smartphone,Terminé,,
136,Tous les 4 à 6 mois,Internet,Plus de 5 ans,Je les donne;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,1,Jamais,Rarement,Rarement,8,Assez,1,1,1,1,Aucun,Oui,Oui,5,7,Beaucoup d’options;Abordables;Facilité d’achat,37,Une femme,C'est un moyen de se conformer aux attentes sociales,Cadre,,7,9,1,3,9,,F2XE-T2P4,28/10/2025 21:46:07,28/10/2025 21:52:56,,"408,983223",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
137,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les jette,Je porte presque toujours mes achats,5,Jamais,Jamais,Rarement,10,Assez,1,1,,1,Pantalon cargo,Non,"Non, mais je connais ces plateformes",1,1,Par réseaux sociaux/Publicité,19,Un homme,C'est un outil d'expression personnelle,Autre,Salarié,10,1,10,7,8,,3B4X-A345,29/10/2025 18:41:45,29/10/2025 18:48:13,,"388,388861",direct,FR,Smartphone,Terminé,,
138,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Parfois,Parfois,Rarement,9,Beaucoup,2,1,1,2,Pantalon cargo;Tote bag,Oui,Oui,3,3,Abordables;Mode actuelle,23,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,1,5,3,,TYMN-LG62,30/10/2025 09:13:06,30/10/2025 09:15:44,,"157,619717",direct,FR,Smartphone,Terminé,,
139,Au moins une fois par mois,Internet,6 mois à 1 an,Je les vends,Certains vêtements restent parfois inutilisés,10,Rarement,Jamais,Rarement,10,Beaucoup,10,10,,10,Pantalon cargo,J’en ai entendu parler sans bien savoir,Oui,10,10,Abordables;Facilité d’achat,25,Un homme,C'est un moyen de se conformer aux attentes sociales,Chef d'entreprise / PDG,,10,10,10,10,10,,NYNV-QD9P,30/10/2025 19:49:53,30/10/2025 19:52:06,,"132,661125",direct,FR,Smartphone,Terminé,,
140,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les vends,Certains vêtements restent parfois inutilisés,6,Rarement,Rarement,Rarement,7,Beaucoup,7,8,8,7,Sonny Angel,J’en ai entendu parler sans bien savoir,"Non, je ne connais pas ces plateformes",7,7,Facilité d’achat,22,Un homme,Je ne sais pas,Étudiant(e),,6,7,8,8,6,,KTCV-A7V2,30/10/2025 19:56:08,30/10/2025 20:02:54,,"406,211851",direct,FR,Smartphone,Terminé,,
141,Tous les 2 à 3 mois,Internet,6 mois à 1 an,Je les vends,Certains vêtements restent parfois inutilisés,1,Jamais,Jamais,Jamais,10,Beaucoup,1,1,,10,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",1,1,Facilité d’achat,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,1,1,10,,ZF8X-MJSZ,30/10/2025 20:20:00,30/10/2025 20:22:50,,"169,821169",direct,FR,Smartphone,Terminé,,
142,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,9,Souvent,Parfois,Parfois,10,Beaucoup,7,5,2,1,Aucun,Oui,Oui,8,8,Beaucoup d’options;Abordables,21,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,6,7,7,,MJX5-ANEK,31/10/2025 11:39:42,31/10/2025 11:44:06,,"264,347073",direct,FR,Smartphone,Terminé,,
143,Tous les 2 à 3 mois,Magasin physique,Plus de 5 ans,Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Souvent,Parfois,Souvent,8,Assez,6,6,2,5,Tote bag;Stanley Cup,Oui,Oui,5,6,Beaucoup d’options;Abordables;Facilité d’achat;Renouvellement des collections,22,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,9,6,10,7,,XVPN-QS35,31/10/2025 12:40:23,31/10/2025 12:49:51,,"568,640505",direct,FR,Smartphone,Terminé,,
144,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,9,Souvent,Souvent,Souvent,10,Beaucoup,7,8,8,10,Pantalon cargo;Campus;Tote bag;Samba,Oui,Oui,9,4,Beaucoup d’options;Abordables;Facilité d’achat,22,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,5,7,7,,DPQD-DJXR,31/10/2025 14:10:55,31/10/2025 14:13:33,,"157,145055",direct,FR,Smartphone,Terminé,,
145,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Parfois,Souvent,Souvent,7,Assez,6,3,5,9,Pantalon cargo;Tote bag,Oui,Oui,7,8,Facilité d’achat;Par réseaux sociaux/Publicité,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,6,9,10,,FRUP-H2WS,31/10/2025 16:42:32,31/10/2025 16:46:17,,"224,308268",Direct,FR,Tablette,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
146,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les vends,Certains vêtements restent parfois inutilisés,7,Rarement,Souvent,Souvent,7,Assez,3,2,4,8,Pantalon cargo;Campus;Sonny Angel,Non,Oui,4,4,Beaucoup d’options,15,Une femme,Je ne sais pas,Étudiant(e),,9,7,9,9,10,,LWCM-MQK5,31/10/2025 16:42:53,31/10/2025 16:48:59,,"366,065488",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
147,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les vends;Je les recycle,Je porte presque toujours mes achats,7,Rarement,Jamais,Jamais,7,Assez,5,2,,2,Pantalon cargo,Non,Oui,6,6,Facilité d’achat;Mode actuelle;Renouvellement des collections,15,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,6,5,6,7,,ETCT-KC78,31/10/2025 16:42:58,31/10/2025 16:49:11,,"372,711369",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
148,Au moins une fois par an,Magasin physique,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,7,Assez,1,1,,1,Pantalon cargo,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",7,7,Par conseil d’amis/famille,16,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,7,10,4,1,8,,42NV-GYBZ,31/10/2025 16:48:52,31/10/2025 16:51:41,,"169,586863",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
149,Tous les 4 à 6 mois,Internet;Friperie / Seconde main;Marché local,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Jamais,Souvent,Parfois,9,Assez,1,1,9,10,Pantalon cargo;Tote bag,Oui,Oui,8,5,Beaucoup d’options;Abordables,16,Une femme,C'est un outil d'expression personnelle,Autre,lycéenne,10,6,2,6,8,,5DGX-RK64,31/10/2025 16:48:15,31/10/2025 16:51:48,,"212,968105",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
150,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,4,Rarement,Jamais,Parfois,10,Beaucoup,4,7,,1,Campus;Sonny Angel;Samba,Non,Oui,4,2,Beaucoup d’options,16,Une femme,Je ne sais pas,Étudiant(e),,1,5,7,5,8,,X9BU-XXDB,31/10/2025 16:48:15,31/10/2025 16:52:01,,"226,679985",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
151,Tous les 4 à 6 mois,Magasin physique,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,3,Jamais,Parfois,Rarement,8,Beaucoup,3,1,1,4,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",8,7,Abordables,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,1,1,10,,U6Z6-QCTY,31/10/2025 16:48:13,31/10/2025 16:53:03,,"289,909559",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
152,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les jette;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Souvent,Parfois,Souvent,7,Beaucoup,5,1,5,1,Pantalon cargo;Campus;Balletcore flats,Oui,Oui,5,4,Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections;Par réseaux sociaux/Publicité,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,7,3,5,10,,YHR2-GE9F,31/10/2025 16:50:23,31/10/2025 16:53:30,,"187,088377",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
153,Au moins une fois par an,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Certains vêtements restent parfois inutilisés,1,Jamais,Parfois,Rarement,1,Pas du tout,1,1,1,3,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",10,7,Abordables,16,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,10,3,1,8,,2VPE-ALXD,31/10/2025 16:50:26,31/10/2025 16:54:02,,"216,335948",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
154,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,3,Jamais,Parfois,Parfois,8,Beaucoup,5,1,7,10,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",10,6,Beaucoup d’options,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,9,3,1,8,,53HL-F42F,31/10/2025 16:51:13,31/10/2025 16:55:09,,"236,272059",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
155,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Parfois,Parfois,Parfois,8,Assez,7,7,9,5,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",4,3,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,4,5,7,,LKUX-PNPF,31/10/2025 16:51:50,31/10/2025 16:55:16,,"205,748513",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
156,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les vends;Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,3,Rarement,Jamais,Jamais,5,Peu,1,6,,1,Samba,J’en ai entendu parler sans bien savoir,Oui,3,3,Abordables;Facilité d’achat,15,Une femme,C'est un outil d'expression personnelle,Autre,Lycéenne,5,10,5,2,7,,GJC6-QGY9,31/10/2025 16:52:03,31/10/2025 16:56:06,,"242,748776",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
